CTE(0.05,0.001,0.5)	Steer_value(0.05,0.001,0.5)	CTE(0.05,0.0001,0.5)	Steer_value(0.05,0.0001,0.5)	CTE(0.05,0.001,1)	Steer_value(0.05,0.001,1)	CTE(0.05,0.001, 0.7)	Steer_value(0.05,0.001, 0.7)	CTE(0.05,0.0001, 1)	Steer_value(0.05,0.0001, 1)	CTE(0.1,0.0001, 1)	Steer_value(0.1,0.0001, 1)
0.7598	-0.41865	0.7598	-0.417966	0.7598	-0.79855	0.7598	-0.57061	0.7598	-0.797866	0.7598	-0.835856
0.7598	-0.0395096	0.7598	-0.038142	0.7598	-0.0395096	0.7598	-0.0395096	0.7598	-0.038142	0.7598	-0.076132
0.7598	-0.0402694	0.7598	-0.0382179	0.7598	-0.0402694	0.7598	-0.0402694	0.7598	-0.0382179	0.7598	-0.0762079
0.7599	-0.0410843	0.7598	-0.0382939	0.7599	-0.0411343	0.7598	-0.0410292	0.7599	-0.0383989	0.7598	-0.0762839
0.7597	-0.041684	0.7599	-0.0384249	0.7597	-0.041584	0.7598	-0.041789	0.7597	-0.0381649	0.7597	-0.0762499
0.7595	-0.0424335	0.7597	-0.0383409	0.7594	-0.0422284	0.7597	-0.0424737	0.7594	-0.0381258	0.7593	-0.0759858
0.7591	-0.0430726	0.7595	-0.0384068	0.759	-0.0428674	0.7593	-0.043003	0.759	-0.0380817	0.7587	-0.0758017
0.7586	-0.0437562	0.7592	-0.0384178	0.7585	-0.0435009	0.7589	-0.0437419	0.7583	-0.0378226	0.7581	-0.0758175
0.7581	-0.0444893	0.7589	-0.0384786	0.7581	-0.044339	0.7584	-0.0444053	0.7578	-0.0380734	0.7573	-0.0756132
0.7576	-0.0452219	0.7583	-0.0383745	0.7573	-0.0446563	0.7578	-0.0450631	0.7571	-0.0379141	0.7565	-0.0756089
0.7569	-0.0458438	0.7578	-0.0384753	0.7566	-0.0454779	0.7572	-0.0457903	0.7561	-0.0376397	0.7553	-0.0751644
0.7559	-0.0463997	0.757	-0.0383609	0.7558	-0.0460937	0.7562	-0.0462165	0.7552	-0.0377702	0.754	-0.0750098
0.7545	-0.0468842	0.7548	-0.0376264	0.7545	-0.0462832	0.7551	-0.0468466	0.7539	-0.0373806	0.7523	-0.074515
0.7533	-0.0476775	0.7538	-0.0382518	0.753	-0.0467612	0.7537	-0.0473203	0.7524	-0.0371808	0.7503	-0.0740901
0.7516	-0.0480941	0.7522	-0.037947	0.7511	-0.0470173	0.7524	-0.0480777	0.7509	-0.0371809	0.748	-0.0736349
0.7496	-0.0485937	0.7503	-0.0377771	0.7495	-0.0479868	0.7505	-0.0483132	0.7484	-0.0361307	0.7452	-0.0729294
0.7472	-0.0490209	0.7481	-0.0375919	0.7475	-0.0482343	0.7483	-0.0487415	0.7455	-0.0356603	0.742	-0.0722836
0.7443	-0.0493702	0.7456	-0.0373914	0.7441	-0.0474084	0.7457	-0.0490772	0.7433	-0.0363246	0.7383	-0.0714874
0.7411	-0.0498013	0.7421	-0.0367906	0.7408	-0.0480842	0.7426	-0.0493148	0.7396	-0.0347136	0.7339	-0.0704208
0.7364	-0.0495527	0.7387	-0.0367445	0.737	-0.0481312	0.739	-0.0495238	0.7361	-0.0348122	0.7289	-0.0693937
0.732	-0.0502147	0.7349	-0.036428	0.7327	-0.0481489	0.7349	-0.0497037	0.7323	-0.0343954	0.7232	-0.068196
0.7271	-0.0504468	0.7298	-0.035596	0.7279	-0.0481368	0.7303	-0.049854	0.7272	-0.0329132	0.7155	-0.0654976
0.7204	-0.0499322	0.7251	-0.0356335	0.7226	-0.0480944	0.724	-0.049073	0.7225	-0.0331504	0.7083	-0.0653484
0.7141	-0.0505313	0.7199	-0.0351955	0.7167	-0.0479161	0.7168	-0.0487998	0.7164	-0.031517	0.6986	-0.0619483
0.7072	-0.0505935	0.7143	-0.0347869	0.7101	-0.0475962	0.7102	-0.0496	0.712	-0.0330682	0.6896	-0.0618172
0.6979	-0.0496264	0.707	-0.0336426	0.7014	-0.0457626	0.7029	-0.0494479	0.7062	-0.0314489	0.6818	-0.0623054
0.6894	-0.0502908	0.7017	-0.0344478	0.6933	-0.0466509	0.6949	-0.0492528	0.6998	-0.0305988	0.6712	-0.0585125
0.6801	-0.0501059	0.6932	-0.0324921	0.6846	-0.0463005	0.6843	-0.0475871	0.693	-0.0299281	0.6596	-0.0564185
0.6699	-0.0498158	0.6854	-0.0325206	0.6752	-0.0458057	0.6745	-0.0483316	0.6909	-0.0345922	0.6471	-0.0543332
0.6608	-0.0505716	0.6786	-0.0327485	0.6666	-0.0468423	0.6643	-0.0482059	0.6949	-0.0409617	0.6348	-0.0533667
0.6607	-0.0557273	0.6797	-0.0368215	0.6668	-0.0563191	0.6593	-0.0522552	0.6964	-0.0386064	0.6298	-0.0602297
0.6557	-0.053683	0.68	-0.0365045	0.6634	-0.0532125	0.6596	-0.0566398	0.703	-0.0441067	0.6246	-0.0595721
0.653	-0.055351	0.6806	-0.0367525	0.6614	-0.0551739	0.6541	-0.0529589	0.7126	-0.0476579	0.6177	-0.0572439
0.6546	-0.0582356	0.6879	-0.0405363	0.6638	-0.0603577	0.6542	-0.0575381	0.7229	-0.0489452	0.6155	-0.0617854
0.6583	-0.0601289	0.6969	-0.041906	0.6693	-0.064402	0.6582	-0.0611263	0.7325	-0.0487985	0.6158	-0.064377
0.6617	-0.0608106	0.7059	-0.0424266	0.6732	-0.0636702	0.6619	-0.0617632	0.7416	-0.0488276	0.6158	-0.0641386
0.6641	-0.0610947	0.7146	-0.0427831	0.676	-0.0633862	0.6646	-0.0618628	0.7501	-0.0487276	0.6144	-0.06266
0.6655	-0.0613302	0.7229	-0.0430703	0.6776	-0.0629438	0.6661	-0.0617639	0.758	-0.0485984	0.6125	-0.0620313
0.6657	-0.0614059	0.7307	-0.0432834	0.6781	-0.0625469	0.6666	-0.0617555	0.7652	-0.0483349	0.6081	-0.0591521
0.6644	-0.0612553	0.7394	-0.0442424	0.6771	-0.061674	0.6659	-0.0615464	0.7718	-0.0481421	0.6032	-0.0582224
0.6625	-0.0615228	0.7461	-0.043652	0.6749	-0.0610389	0.6639	-0.0612003	0.7785	-0.048655	0.597	-0.0563621
0.6579	-0.0606007	0.7521	-0.0436772	0.6712	-0.0600251	0.6606	-0.0607859	0.784	-0.0478084	0.5895	-0.0543711
0.6525	-0.0605832	0.7574	-0.0436679	0.6661	-0.0590362	0.6559	-0.0602268	0.7876	-0.0461671	0.5808	-0.0523591
0.6455	-0.0600787	0.7619	-0.0435691	0.658	-0.0562892	0.6496	-0.0594414	0.79	-0.0451661	0.5707	-0.0500062
0.6368	-0.0594305	0.7656	-0.0434307	0.6495	-0.0561137	0.6399	-0.0572163	0.7915	-0.0444203	0.5592	-0.0475121
0.6264	-0.0586869	0.769	-0.0435276	0.6394	-0.0546481	0.63	-0.0572113	0.792	-0.0435245	0.5438	-0.0421265
0.6142	-0.0577911	0.7707	-0.0428396	0.6278	-0.0531959	0.6185	-0.0561348	0.7917	-0.0427887	0.5296	-0.0419595
0.5972	-0.0551383	0.7714	-0.0424518	0.6145	-0.0514454	0.6024	-0.0527122	0.7905	-0.0419077	0.5144	-0.0394909
0.581	-0.0553093	0.7712	-0.0420689	0.5996	-0.0497	0.5904	-0.0555726	0.7875	-0.0400365	0.4982	-0.0369207
0.5668	-0.0561661	0.7698	-0.0414759	0.5795	-0.0440745	0.5703	-0.0494679	0.7846	-0.0400699	0.4807	-0.0339188
0.5471	-0.0529782	0.7676	-0.0410426	0.5607	-0.0449952	0.5552	-0.0527681	0.7789	-0.0370628	0.4621	-0.031005
0.5253	-0.0513635	0.7639	-0.040184	0.5362	-0.0386064	0.5306	-0.0454187	0.7728	-0.0364351	0.4427	-0.0283093
0.5013	-0.0495648	0.7592	-0.0395249	0.5142	-0.0405206	0.5078	-0.0460465	0.7659	-0.0353667	0.4224	-0.0254215
0.4806	-0.0506604	0.7531	-0.0385953	0.4907	-0.0383363	0.4834	-0.0441899	0.7577	-0.0337325	0.4013	-0.0225516
0.453	-0.0462834	0.7459	-0.0377599	0.466	-0.0363673	0.4572	-0.0420771	0.7486	-0.0324523	0.3795	-0.0197096
0.4232	-0.0441166	0.7393	-0.0378038	0.4395	-0.0336818	0.4349	-0.044127	0.7384	-0.0309161	0.3528	-0.0121749
0.3915	-0.0419731	0.73	-0.0360618	0.4118	-0.0315086	0.4055	-0.0380925	0.7295	-0.0318441	0.3303	-0.0141579
0.3578	-0.0396459	0.7194	-0.0349537	0.3827	-0.0290363	0.3679	-0.0308404	0.7178	-0.0285309	0.3081	-0.0122687
0.315	-0.0332709	0.7074	-0.0337245	0.3525	-0.0267788	0.3347	-0.0325951	0.7048	-0.0266514	0.2813	-0.00501685
0.2773	-0.0342132	0.6944	-0.0326439	0.3211	-0.0243299	0.2935	-0.0252286	0.6911	-0.0253355	0.259	-0.00731275
0.2462	-0.0362044	0.6802	-0.0314019	0.2889	-0.0222088	0.2504	-0.021994	0.6765	-0.0237731	0.2374	-0.00587649
0.1977	-0.0252771	0.665	-0.0302084	0.2557	-0.0198045	0.2135	-0.0247025	0.6614	-0.0225843	0.2163	-0.00428812
0.1554	-0.0264175	0.6519	-0.0306686	0.222	-0.0178415	0.176	-0.0225835	0.6424	-0.0177985	0.1956	-0.00263768
0.112	-0.0238095	0.6347	-0.0278221	0.1808	-0.0084623	0.1452	-0.0258787	0.6259	-0.0195361	0.1756	-0.00135524
0.0676	-0.0211571	0.6164	-0.0264187	0.153	-0.0206253	0.0981	-0.0122118	0.6093	-0.018667	0.1565	-0.00036089
0.0131	-0.0133952	0.5971	-0.0250134	0.1184	-0.0122137	0.0575	-0.0147893	0.5924	-0.0175813	0.1385	0.00032526
-0.0332	-0.015147	0.5812	-0.0259766	0.0904	-0.0175041	0.0167	-0.012626	0.5753	-0.0165838	0.1215	0.00101311
-0.0703	-0.0178217	0.5606	-0.0226526	0.0556	-0.0090197	-0.024	-0.010637	0.5585	-0.0160996	0.1057	0.00138254
-0.1169	-0.0106248	0.5391	-0.0211815	0.0131	0.0007922	-0.0649	-0.0083871	0.5515	-0.0256048	0.0912	0.00152342
-0.1719	-0.0035029	0.517	-0.0198282	-0.0144	-0.0128184	-0.1029	-0.0084142	0.5568	-0.0382255	0.0811	-0.00187469
-0.2067	-0.0116562	0.4988	-0.0209181	-0.0284	-0.02559	-0.1287	-0.0155355	0.5775	-0.0547182	0.0853	-0.0166032
-0.2297	-0.0161765	0.4969	-0.0290228	-0.0274	-0.0406126	-0.1407	-0.0244548	0.5953	-0.0527678	0.1086	-0.0380441
-0.2384	-0.0226531	0.5101	-0.0372838	-0.0231	-0.0441045	-0.1434	-0.0306864	0.6119	-0.0524589	0.1368	-0.0457778
-0.2467	-0.0221914	0.5235	-0.0381061	-0.0221	-0.0408324	-0.1462	-0.0303302	0.622	-0.0465261	0.163	-0.0464141
-0.2559	-0.0210255	0.5351	-0.0378397	-0.0239	-0.0379185	-0.1505	-0.0289147	0.6288	-0.043629	0.191	-0.0510332
-0.2657	-0.0199698	0.5465	-0.0383643	-0.0291	-0.0342294	-0.1575	-0.0265172	0.6328	-0.0410923	0.2113	-0.0453843
-0.2781	-0.0177717	0.5539	-0.0367897	-0.0356	-0.0325688	-0.1632	-0.026979	0.6344	-0.0388357	0.2285	-0.0440271
-0.2911	-0.0165306	0.5602	-0.0366107	-0.0439	-0.0303099	-0.1711	-0.0248729	0.6331	-0.0359341	0.2432	-0.0430215
-0.3021	-0.0166785	0.5634	-0.0352771	-0.0538	-0.0281611	-0.1819	-0.022121	0.6296	-0.033622	0.2553	-0.041657
-0.313	-0.0158705	0.5648	-0.0345035	-0.0651	-0.026131	-0.194	-0.020412	0.6229	-0.0301493	0.2666	-0.0420136
-0.3262	-0.0137343	0.5642	-0.03353	-0.0803	-0.0213907	-0.2069	-0.0190001	0.6153	-0.0289308	0.2734	-0.038221
-0.3373	-0.013892	0.562	-0.0326762	-0.0941	-0.0220066	-0.2182	-0.0193369	0.6062	-0.0270365	0.2775	-0.0359587
-0.3479	-0.0132641	0.5569	-0.0310268	-0.1087	-0.0203679	-0.232	-0.0166649	0.5935	-0.0228608	0.2797	-0.0343067
-0.3625	-0.0101716	0.5508	-0.0302769	-0.1268	-0.0158361	-0.2438	-0.0172311	0.5816	-0.023124	0.2793	-0.0316946
-0.3704	-0.0127562	0.5415	-0.0282661	-0.1425	-0.0173086	-0.2581	-0.014508	0.5688	-0.0216408	0.2769	-0.0294823
-0.3797	-0.0112115	0.532	-0.0277443	-0.1583	-0.0162603	-0.2701	-0.0152479	0.5525	-0.0173811	0.2729	-0.0275096
-0.3901	-0.0097514	0.5211	-0.0265514	-0.1741	-0.0152962	-0.2818	-0.0145911	0.5382	-0.0187199	0.2662	-0.0241662
-0.3982	-0.0100982	0.5064	-0.023967	-0.19	-0.0142112	-0.2957	-0.0120604	0.5236	-0.0177423	0.2592	-0.0231922
-0.4067	-0.0090665	0.4899	-0.022291	-0.2089	-0.0100573	-0.307	-0.0130084	0.5059	-0.0138079	0.2514	-0.0216373
-0.4128	-0.0095487	0.4751	-0.0224485	-0.2243	-0.012563	-0.3198	-0.0109986	0.491	-0.015912	0.2409	-0.0179114
-0.4189	-0.0088248	0.4595	-0.0213145	-0.2392	-0.0120788	-0.3298	-0.0121288	0.4763	-0.0154246	0.2314	-0.0179845
-0.4236	-0.0088662	0.4432	-0.0201938	-0.2562	-0.0088726	-0.3411	-0.0103127	0.4589	-0.0119005	0.2197	-0.0146365
-0.4263	-0.0093049	0.4262	-0.0190364	-0.2724	-0.0085902	-0.3498	-0.0113479	0.4459	-0.0156951	0.2099	-0.0155775
-0.4279	-0.009347	0.4087	-0.0179523	-0.2848	-0.0114854	-0.3576	-0.0112303	0.4517	-0.0348302	0.1982	-0.0125273
-0.42	-0.014072	0.3878	-0.0152461	-0.2856	-0.0227598	-0.3584	-0.0157319	0.4788	-0.0575331	0.1949	-0.0206168
-0.3794	-0.0320726	0.385	-0.0241946	-0.2611	-0.0490237	-0.3347	-0.0337322	0.5101	-0.0633491	0.2165	-0.0476985
-0.3318	-0.0376208	0.4055	-0.0369101	-0.2187	-0.068825	-0.2869	-0.0527053	0.5419	-0.0654933	0.2527	-0.0659437
-0.2853	-0.0391105	0.4326	-0.0416084	-0.187	-0.059523	-0.2399	-0.0542554	0.562	-0.0548545	0.2869	-0.0673924
-0.2325	-0.044668	0.4622	-0.0443846	-0.1617	-0.0542263	-0.2051	-0.0472503	0.5777	-0.0512973	0.3154	-0.064574
