CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1	CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
0.7598	-1.69056	0.7598	-1.68904	0.7598	-1.68828	0.7598	-1	0.7598	-1
0.7598	-0.098774	0.7598	-0.0957348	0.7598	-0.0942152	0.7598	-0.098774	0.7598	-0.098774
0.7598	-0.102573	0.7598	-0.0980142	0.7598	-0.0957348	0.7598	-0.102573	0.7598	-0.102573
0.7598	-0.106372	0.7599	-0.100516	0.7598	-0.0972544	0.7598	-0.106372	0.7598	-0.106372
0.7599	-0.110393	0.7597	-0.102141	0.7598	-0.098774	0.7597	-0.109979	0.7597	-0.109979
0.7596	-0.113316	0.7593	-0.103951	0.7596	-0.0998492	0.7595	-0.113572	0.7595	-0.113572
0.7592	-0.116853	0.7589	-0.10618	0.7591	-0.100677	0.7592	-0.117152	0.7591	-0.11696
0.7586	-0.120155	0.7582	-0.10774	0.7585	-0.101912	0.7587	-0.120526	0.7586	-0.120513
0.7578	-0.123427	0.757	-0.108817	0.7577	-0.102912	0.758	-0.123871	0.7579	-0.123858
0.7569	-0.126894	0.7555	-0.110274	0.7566	-0.103663	0.7572	-0.127381	0.7571	-0.127367
0.7555	-0.129453	0.7539	-0.112133	0.7555	-0.105042	0.7565	-0.13126	0.756	-0.130476
0.7538	-0.132389	0.7524	-0.114421	0.7539	-0.105308	0.7552	-0.1338	0.7548	-0.133926
0.7521	-0.135945	0.7497	-0.113826	0.7519	-0.105732	0.7537	-0.137029	0.7532	-0.136779
0.7497	-0.137936	0.7475	-0.116854	0.7495	-0.106103	0.7519	-0.140032	0.7514	-0.13996
0.7474	-0.141606	0.7435	-0.114825	0.7459	-0.104642	0.7497	-0.142797	0.7498	-0.143878
0.744	-0.142609	0.7404	-0.118564	0.7422	-0.105473	0.747	-0.145307	0.7467	-0.144539
0.7391	-0.142566	0.7347	-0.114624	0.738	-0.105395	0.7439	-0.147935	0.7437	-0.148078
0.734	-0.145204	0.7302	-0.118795	0.733	-0.104581	0.7393	-0.148379	0.7402	-0.150458
0.7281	-0.146456	0.7224	-0.113096	0.727	-0.103215	0.7349	-0.151886	0.7349	-0.150257
0.7195	-0.143352	0.713	-0.110747	0.7187	-0.0988262	0.7299	-0.153855	0.7312	-0.156349
0.7109	-0.145874	0.7041	-0.112841	0.7106	-0.0996954	0.7226	-0.152453	0.7257	-0.156078
0.6988	-0.140567	0.694	-0.111191	0.7016	-0.0981286	0.7157	-0.155923	0.7193	-0.157286
0.6871	-0.143438	0.6801	-0.103583	0.6893	-0.0911012	0.708	-0.157099	0.712	-0.15835
0.671	-0.135621	0.6641	-0.0992457	0.6777	-0.0925346	0.6993	-0.157752	0.7038	-0.159265
0.6524	-0.131401	0.6495	-0.102382	0.6623	-0.0840312	0.6895	-0.158043	0.692	-0.154829
0.6313	-0.126775	0.6334	-0.0992004	0.648	-0.0859212	0.6786	-0.158148	0.6814	-0.159124
0.6117	-0.130632	0.6119	-0.0871161	0.6292	-0.0754736	0.6632	-0.151516	0.6697	-0.159088
0.5902	-0.127013	0.592	-0.0898641	0.6119	-0.0777714	0.6495	-0.156179	0.6567	-0.158472
0.5663	-0.121937	0.5709	-0.0865248	0.5935	-0.0744404	0.6345	-0.155212	0.6423	-0.157436
