CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
0.7598	-1	0.7598	-1
0.7598	-0.098774	0.7598	-0.104852
0.7598	-0.102573	0.7598	-0.111691
0.7598	-0.106372	0.7598	-0.118529
0.7597	-0.109979	0.7596	-0.124981
0.7595	-0.113572	0.7593	-0.131599
0.7592	-0.117152	0.7587	-0.137815
0.7587	-0.120526	0.758	-0.144373
0.758	-0.123871	0.7571	-0.150719
0.7572	-0.127381	0.7557	-0.156452
0.7565	-0.13126	0.7547	-0.163845
0.7552	-0.1338	0.7531	-0.169351
0.7537	-0.137029	0.7512	-0.175343
0.7519	-0.140032	0.7488	-0.180895
0.7497	-0.142797	0.7461	-0.186745
0.747	-0.145307	0.7419	-0.190219
0.7439	-0.147935	0.7379	-0.19674
0.7393	-0.148379	0.7331	-0.201322
0.7349	-0.151886	0.7276	-0.20595
0.7299	-0.153855	0.721	-0.209667
0.7226	-0.152453	0.7134	-0.213376
0.7157	-0.155923	0.7022	-0.211871
0.708	-0.157099	0.6889	-0.212695
0.6993	-0.157752	0.6736	-0.213322
0.6895	-0.158043	0.6597	-0.220111
0.6786	-0.158148	0.6442	-0.221169
0.6632	-0.151516	0.6222	-0.212429
0.6495	-0.156179	0.5971	-0.209211
0.6345	-0.155212	0.5751	-0.217327
0.618	-0.153622	0.551	-0.215614
0.6	-0.151762	0.5245	-0.212834
0.5803	-0.14924	0.4878	-0.19446
0.5533	-0.135626	0.4557	-0.20299
0.5297	-0.141562	0.4129	-0.18231
0.5052	-0.139529	0.3797	-0.199023
0.4831	-0.143612	0.3555	-0.215519
0.4695	-0.159627	0.3177	-0.189362
0.4414	-0.132363	0.2752	-0.178279
0.4085	-0.121817	0.226	-0.162349
0.3851	-0.138035	0.1875	-0.178676
0.3626	-0.138767	0.1478	-0.173082
0.3384	-0.134495	0.1047	-0.162733
0.3118	-0.128543	0.0583	-0.151749
0.2828	-0.122156	-0.0039	-0.11581
0.2435	-0.100118	-0.0568	-0.125691
0.2096	-0.106818	-0.1113	-0.115269
0.1744	-0.101126	-0.1686	-0.101836
0.1369	-0.0931705	-0.2284	-0.0881043
0.0871	-0.06549	-0.2905	-0.0738978
0.0342	-0.053733	-0.3709	-0.0279717
-0.0093	-0.0653865	-0.4373	-0.041268
-0.0649	-0.03661	-0.5207	0.0040263
-0.1233	-0.0239455	-0.5884	-0.0108141
-0.1707	-0.037204	-0.6555	0.0020574
-0.23	-0.007518	-0.7228	0.0169986
-0.2913	0.0048945	-0.8073	0.0653643
-0.34	-0.0102415	-0.8573	0.01698
-0.4001	0.019491	-0.9376	0.0895944
-0.4489	0.0072515	-1.0014	0.076563
-0.4966	0.0134785	-1.0758	0.114253
-0.5441	0.021539	-1.132	0.0984252
-0.6029	0.0519495	-1.1838	0.107375
-0.6489	0.037674	-1.2324	0.118539
-0.6922	0.041471	-1.2876	0.148631
-0.734	0.047457	-1.3264	0.135705
-0.7841	0.0723295	-1.3589	0.140495
-0.8218	0.0586425	-1.386	0.146501
-0.8558	0.0603415	-1.4118	0.159963
-0.887	0.0634805	-1.4255	0.152657
-0.9222	0.0795155	-1.432	0.153365
-0.9467	0.067929	-1.4315	0.153588
-0.9669	0.0674475	-1.4212	0.147503
-0.9871	0.074807	-1.3993	0.136589
-0.9993	0.0668675	-1.3738	0.139413
-1.0071	0.064919	-1.3414	0.135178
-1.0115	0.0643845	-1.2906	0.107577
-1.0101	0.058827	-1.2418	0.116497
-1.0047	0.0560025	-1.187	0.109804
-0.9931	0.048416	-1.109	0.0686652
-0.9798	0.048659	-1.0396	0.0851736
-0.9586	0.036688	-0.9659	0.0772827
-0.9341	0.0324785	-0.8863	0.0650874
-0.8878	-0.0078785	-0.795	0.0402264
-0.838	-0.0159645	-0.691	0.0111054
-0.7667	-0.059387	-0.5754	-0.018468
-0.709	-0.038286	-0.4523	-0.0426693
-0.64	-0.063706	-0.3288	-0.0552501
-0.5733	-0.0647035	-0.2067	-0.0655218
-0.5228	-0.0389895	-0.0568	-0.133039
-0.4633	-0.060013	0.0607	-0.0893649
-0.417	-0.039724	0.3032	-0.346194
-0.3619	-0.0603665	0.403	-0.104937
-0.3194	-0.0411895	0.4951	-0.106585
-0.2793	-0.040285	0.5609	-0.0721887
-0.2405	-0.0413985	0.6386	-0.10868
-0.1937	-0.060446	0.6974	-0.0879927
-0.149	-0.061285	0.7629	-0.114779
-0.1164	-0.042835	0.8098	-0.094215
-0.0866	-0.040938	0.8598	-0.113533
-0.0518	-0.053855	0.8933	-0.0958929
-0.0256	-0.041391	0.9203	-0.0957156
-0.0018	-0.039918	0.9414	-0.0961002
0.0202	-0.039419	0.9565	-0.0957207
0.0455	-0.0486225	0.9655	-0.0945102
0.0639	-0.03873	0.968	-0.0918222
0.0837	-0.0440445	0.9629	-0.0861963
0.1007	-0.041548	0.9516	-0.0822447
0.1121	-0.0333965	0.929	-0.0675537
0.1215	-0.031532	0.9047	-0.06972
0.1315	-0.0344695	0.8679	-0.0506151
0.1382	-0.0300245	0.8334	-0.0581157
0.157	-0.0548455	0.7876	-0.0393681
0.1909	-0.087048	0.7594	-0.0744987
0.2277	-0.0978225	0.7392	-0.0931275
0.2667	-0.107796	0.7234	-0.105662
0.2952	-0.093792	0.704	-0.10319
0.3118	-0.075923	0.6769	-0.0921702
0.317	-0.057612	0.6422	-0.080106
0.3148	-0.045602	0.6004	-0.0677136
0.3084	-0.038816	0.5523	-0.0555723
0.299	-0.033783	0.4846	-0.0165297
0.2871	-0.0292905	0.426	-0.0297117
0.2731	-0.025196	0.3663	-0.0238644
0.2533	-0.0136465	0.305	-0.0163734
0.2316	-0.0087805	0.2424	-0.008703
0.2096	-0.0066485	0.1631	0.0294051
0.1924	-0.0141865	0.0996	0.0076887
0.1719	-0.006646	0.0243	0.037746
0.156	-0.013798	-0.033	0.012519
0.1371	-0.0068155	-0.086	0.011913
0.1226	-0.0136085	-0.1359	0.0135441
0.1057	-0.007789	-0.1943	0.0376008
0.0928	-0.013905	-0.2377	0.0179481
0.0917	-0.0354715	-0.2766	0.0170055
0.1145	-0.0818	-0.3192	0.0316503
0.1512	-0.11198	-0.3437	0.0051036
0.1797	-0.101539	-0.3379	-0.0470913
0.1928	-0.0763545	-0.3172	-0.0735405
0.1972	-0.0622085	-0.2978	-0.0708483
0.1947	-0.050462	-0.2802	-0.0671985
0.184	-0.035338	-0.2718	-0.0492003
0.1661	-0.0210605	-0.2681	-0.0387714
0.1483	-0.019846	-0.2705	-0.0250689
0.1238	-0.005465	-0.2773	-0.0138372
0.1029	-0.0099515	-0.2867	-0.0054489
0.0769	0.001964	-0.2948	-0.0041637
0.0515	0.0036745	-0.3023	-0.001623
0.028	0.0029345	-0.3103	0.0030297
0.0076	-0.0002355	-0.3153	0.0010674
-0.0096	-0.0038835	-0.3183	0.0006921
-0.021	-0.0128505	-0.3192	-0.0001071
-0.0329	-0.010358	-0.3177	-0.0017478
-0.0432	-0.011786	-0.3115	-0.0081483
-0.046	-0.02472	-0.3049	-0.0069162
-0.0185	-0.0824675	-0.2967	-0.0081099
0.0176	-0.102368	-0.2871	-0.009198
0.049	-0.0979205	-0.2612	-0.0392952
0.0766	-0.0947755	-0.2167	-0.0761649
0.0898	-0.0708885	-0.1628	-0.0980877
0.0886	-0.0452675	-0.1135	-0.0947022
0.0751	-0.021883	-0.0627	-0.102934
0.0582	-0.014026	-0.0258	-0.0821097
0.0334	0.003003	-0.0071	-0.0515298
0.0065	0.0099785	0.0031	-0.0374817
-0.0144	0.0017585	0.0074	-0.0274443
-0.0334	0.0007855	0.0046	-0.0143697
-0.0544	0.0071775	-0.0009	-0.0088416
-0.0691	-0.002053	-0.0078	-0.0054234
-0.0836	-0.000255	-0.0167	-0.0006051
-0.0926	-0.008612	-0.0234	-0.0035505
-0.0993	-0.0114515	-0.0301	-0.0024756
-0.106	-0.0101175	-0.0339	-0.0069345
-0.1104	-0.0131775	-0.0361	-0.0092256
-0.0805	-0.078103	-0.0369	-0.0113175
0.012	-0.201943	-0.0364	-0.0133899
0.105	-0.214528	-0.0344	-0.0160203
0.1595	-0.152566	0.024	-0.124764
0.1945	-0.122638	0.0255	-0.0227538
0.1999	-0.0710055	0.0821	-0.129465
0.1886	-0.0405325	0.1673	-0.192674
0.1567	-0.000408	0.2241	-0.150387
0.1222	0.007801	0.2689	-0.136583
0.0754	0.03518	0.2838	-0.0871056
0.0283	0.0412305	0.2818	-0.0589818
-0.0058	0.0219515	0.267	-0.0365688
-0.0404	0.0272055	0.2427	-0.0187371
-0.067	0.0163325	0.2117	-0.0048624
-0.0847	0.00286	0.1672	0.0232728
-0.0928	-0.012984	0.1202	0.032331
-0.0927	-0.0272925	0.0847	0.0151287
-0.0575	-0.094409	0.0535	0.0106512
-0.0147	-0.113152	0.026	0.0070572
0.0129	-0.089168	0.0021	0.0034263
0.0325	-0.0772825	-0.0229	0.0086124
0.0369	-0.050635	-0.0367	-0.0095613
0.0292	-0.028077	-0.0189	-0.0684072
