CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1
0.7598	-1.69056	0.7598	-1.68904	0.7598	-1.68828
0.7598	-0.098774	0.7598	-0.0957348	0.7598	-0.0942152
0.7598	-0.102573	0.7598	-0.0980142	0.7598	-0.0957348
0.7598	-0.106372	0.7599	-0.100516	0.7598	-0.0972544
0.7599	-0.110393	0.7597	-0.102141	0.7598	-0.098774
0.7596	-0.113316	0.7593	-0.103951	0.7596	-0.0998492
0.7592	-0.116853	0.7589	-0.10618	0.7591	-0.100677
0.7586	-0.120155	0.7582	-0.10774	0.7585	-0.101912
0.7578	-0.123427	0.757	-0.108817	0.7577	-0.102912
0.7569	-0.126894	0.7555	-0.110274	0.7566	-0.103663
0.7555	-0.129453	0.7539	-0.112133	0.7555	-0.105042
0.7538	-0.132389	0.7524	-0.114421	0.7539	-0.105308
0.7521	-0.135945	0.7497	-0.113826	0.7519	-0.105732
0.7497	-0.137936	0.7475	-0.116854	0.7495	-0.106103
0.7474	-0.141606	0.7435	-0.114825	0.7459	-0.104642
0.744	-0.142609	0.7404	-0.118564	0.7422	-0.105473
0.7391	-0.142566	0.7347	-0.114624	0.738	-0.105395
0.734	-0.145204	0.7302	-0.118795	0.733	-0.104581
0.7281	-0.146456	0.7224	-0.113096	0.727	-0.103215
0.7195	-0.143352	0.713	-0.110747	0.7187	-0.0988262
0.7109	-0.145874	0.7041	-0.112841	0.7106	-0.0996954
0.6988	-0.140567	0.694	-0.111191	0.7016	-0.0981286
0.6871	-0.143438	0.6801	-0.103583	0.6893	-0.0911012
0.671	-0.135621	0.6641	-0.0992457	0.6777	-0.0925346
0.6524	-0.131401	0.6495	-0.102382	0.6623	-0.0840312
0.6313	-0.126775	0.6334	-0.0992004	0.648	-0.0859212
0.6117	-0.130632	0.6119	-0.0871161	0.6292	-0.0754736
0.5902	-0.127013	0.592	-0.0898641	0.6119	-0.0777714
0.5663	-0.121937	0.5709	-0.0865248	0.5935	-0.0744404
0.5344	-0.10398	0.5528	-0.0923112	0.5746	-0.0722716
0.5076	-0.114013	0.548	-0.121309	0.572	-0.107334
0.4908	-0.13545	0.5217	-0.0745683	0.5502	-0.065498
0.4644	-0.114444	0.478	-0.0342183	0.5209	-0.0472738
0.4027	-0.034924	0.4655	-0.0996348	0.5126	-0.091403
0.388	-0.1338	0.4513	-0.0957147	0.5028	-0.0880826
0.3615	-0.107647	0.434	-0.0884307	0.4867	-0.073894
0.3339	-0.103695	0.4129	-0.0791574	0.4704	-0.0724588
0.3028	-0.094127	0.3893	-0.0722433	0.4486	-0.05919
0.2688	-0.085301	0.3583	-0.0540582	0.4285	-0.061205
0.2246	-0.0597	0.3305	-0.0584337	0.4072	-0.0569434
0.1849	-0.0653105	0.3015	-0.0533382	0.3842	-0.0513818
0.144	-0.0586025	0.2709	-0.0471189	0.3595	-0.0455668
0.1011	-0.04976	0.2385	-0.0401664	0.328	-0.0281628
0.056	-0.040008	0.2045	-0.0333399	0.3003	-0.0334194
0.0092	-0.030868	0.1695	-0.0275484	0.2783	-0.043306
-0.0391	-0.0217265	0.1336	-0.0217512	0.2497	-0.0265134
-0.0881	-0.013936	0.097	-0.0161802	0.2257	-0.0337448
-0.1374	-0.006703	0.06	-0.0110802	0.1887	-0.0023822
-0.1874	0.001704	0.0227	-0.0060423	0.1571	-0.0102444
-0.2369	0.0077785	-0.0147	-0.0013002	0.1386	-0.0358116
-0.2864	0.0151505	-0.0519	0.0028995	0.1017	0.007053
-0.3349	0.020545	-0.0961	0.0231918	0.0694	0.0011302
-0.3825	0.0262795	-0.1248	-0.0055398	0.0449	-0.0123996
-0.4281	0.029692	-0.152	-0.0049698	0.0148	0.0029428
-0.4632	0.01417	-0.1865	0.0150597	-0.0153	0.0065854
-0.4971	0.0182035	-0.2279	0.0352014	-0.0446	0.0085106
-0.539	0.0427265	-0.2541	0.0071877	-0.0726	0.0092858
-0.5797	0.047989	-0.2836	0.0185085	-0.0995	0.0104028
-0.6171	0.0486325	-0.3173	0.0323244	-0.1248	0.0103284
-0.6439	0.032808	-0.3437	0.0211935	-0.1487	0.0105538
-0.6738	0.046275	-0.3667	0.0179136	-0.1668	0.0008794
-0.701	0.047374	-0.3872	0.0162852	-0.1879	0.0100872
-0.7199	0.0358115	-0.4023	0.0079641	-0.2042	0.0023716
-0.7432	0.0515635	-0.4225	0.0223656	-0.227	0.0192116
-0.7589	0.041282	-0.4377	0.0150027	-0.2412	0.003338
-0.7701	0.0370265	-0.4545	0.0217422	-0.259	0.013552
-0.7766	0.0318195	-0.4618	0.0040536	-0.2722	0.0060204
-0.7794	0.0282825	-0.4679	0.0036693	-0.285	0.0072864
-0.7785	0.024297	-0.4655	-0.0130722	-0.29	-0.0079136
-0.7743	0.0207345	-0.4539	-0.0324225	-0.2807	-0.0384982
-0.7573	-0.004399	-0.4207	-0.0805044	-0.2635	-0.0566252
-0.7255	-0.0356675	-0.3889	-0.0802137	-0.2357	-0.0817498
-0.6798	-0.0669425	-0.3634	-0.0689535	-0.2064	-0.088003
-0.6218	-0.0966235	-0.3412	-0.0636639	-0.1861	-0.0711668
-0.5706	-0.0856345	-0.3281	-0.0451416	-0.1766	-0.0492736
-0.5357	-0.052914	-0.3177	-0.0397665	-0.1721	-0.0389694
-0.5078	-0.039023	-0.3109	-0.0320898	-0.1704	-0.0329526
-0.4787	-0.0426415	-0.308	-0.0233238	-0.1707	-0.0283752
-0.4519	-0.038768	-0.3054	-0.0220896	-0.173	-0.0235532
-0.428	-0.033406	-0.3039	-0.0190479	-0.176	-0.0213712
-0.4102	-0.020681	-0.3029	-0.0172092	-0.1806	-0.017098
-0.3939	-0.0175175	-0.3019	-0.0164235	-0.1848	-0.0170644
-0.3776	-0.0175855	-0.301	-0.0154185	-0.1901	-0.0137382
-0.3579	-0.0253	-0.2999	-0.0150708	-0.1945	-0.0147112
-0.3379	-0.0266405	-0.2984	-0.0151956	-0.1977	-0.0164518
-0.322	-0.0183285	-0.2968	-0.0147072	-0.2022	-0.0127774
-0.3041	-0.023156	-0.295	-0.0144582	-0.2065	-0.0122684
-0.275	-0.048793	-0.2928	-0.0146838	-0.2096	-0.0139972
-0.2587	-0.0225755	-0.2897	-0.0160767	-0.2126	-0.013422
-0.2466	-0.0139745	-0.286	-0.0169227	-0.2145	-0.015075
-0.2393	-0.003574	-0.2827	-0.0156306	-0.2163	-0.0146364
-0.2278	-0.012635	-0.2785	-0.0171891	-0.2173	-0.0157618
-0.2165	-0.0124885	-0.2736	-0.0184263	-0.2181	-0.0156496
-0.1964	-0.0323985	-0.2394	-0.0833421	-0.2124	-0.0295588
-0.1577	-0.075314	-0.2019	-0.0941664	-0.1848	-0.0784912
-0.1016	-0.118078	-0.158	-0.1124	-0.1325	-0.136372
-0.0395	-0.137932	-0.1241	-0.0950961	-0.0938	-0.112269
0.0058	-0.108117	-0.1056	-0.0646593	-0.0657	-0.0932492
0.0261	-0.058184	-0.0912	-0.0575037	-0.0577	-0.0518838
0.0332	-0.031482	-0.0878	-0.0345483	-0.0626	-0.0240806
0.0307	-0.0111755	-0.0921	-0.017586	-0.0781	0.0001956
0.0249	-0.003674	-0.1005	-0.0076665	-0.0938	0.0026872
0.0171	0.0013765	-0.1123	0.0012264	-0.1091	0.0039014
