CTE(0.1)	Steer_value(0.1,0,0)	CTE(0.05)	Steer_value(0.05,0,0)	CTE(0.02)	Steer_value(0.02,0,0)
0.7598	-0.07598	0.7598	-0.03799	0.7598	-0.015196
0.7598	-0.07598	0.7598	-0.03799	0.7598	-0.015196
0.7598	-0.07598	0.7598	-0.03799	0.7598	-0.015196
0.7598	-0.07598	0.7599	-0.037995	0.7598	-0.015196
0.7596	-0.07596	0.7597	-0.037985	0.7598	-0.015196
0.7592	-0.07592	0.7594	-0.03797	0.7597	-0.015194
0.7586	-0.07586	0.7593	-0.037965	0.7595	-0.01519
0.7578	-0.07578	0.7588	-0.03794	0.7592	-0.015184
0.7569	-0.07569	0.7584	-0.03792	0.7588	-0.015176
0.7557	-0.07557	0.7578	-0.03789	0.7585	-0.01517
0.7539	-0.07539	0.757	-0.03785	0.758	-0.01516
0.7521	-0.07521	0.7561	-0.037805	0.7575	-0.01515
0.7505	-0.07505	0.7549	-0.037745	0.7568	-0.015136
0.7481	-0.07481	0.7536	-0.03768	0.756	-0.01512
0.7454	-0.07454	0.752	-0.0376	0.755	-0.0151
0.7422	-0.07422	0.7502	-0.03751	0.7539	-0.015078
0.7376	-0.07376	0.7484	-0.03742	0.7527	-0.015054
0.7331	-0.07331	0.7459	-0.037295	0.751	-0.01502
0.7279	-0.07279	0.7423	-0.037115	0.7493	-0.014986
0.7207	-0.07207	0.739	-0.03695	0.7475	-0.01495
0.7139	-0.07139	0.7352	-0.03676	0.7451	-0.014902
0.7063	-0.07063	0.7311	-0.036555	0.7429	-0.014858
0.6959	-0.06959	0.7265	-0.036325	0.7401	-0.014802
0.6863	-0.06863	0.7204	-0.03602	0.7376	-0.014752
0.6756	-0.06756	0.7148	-0.03574	0.735	-0.0147
0.664	-0.0664	0.7087	-0.035435	0.7322	-0.014644
0.6485	-0.06485	0.7021	-0.035105	0.7293	-0.014586
0.6343	-0.06343	0.695	-0.03475	0.7263	-0.014526
0.6219	-0.06219	0.6874	-0.03437	0.7225	-0.01445
0.6197	-0.06197	0.6819	-0.034095	0.7216	-0.014432
0.6078	-0.06078	0.6864	-0.03432	0.7306	-0.014612
0.601	-0.0601	0.6838	-0.03419	0.7345	-0.01469
0.598	-0.0598	0.6864	-0.03432	0.7433	-0.014866
0.5966	-0.05966	0.6935	-0.034675	0.7573	-0.015146
0.5947	-0.05947	0.703	-0.03515	0.7743	-0.015486
0.5917	-0.05917	0.7149	-0.035745	0.7924	-0.015848
0.5877	-0.05877	0.7246	-0.03623	0.8109	-0.016218
0.5825	-0.05825	0.7342	-0.03671	0.83	-0.0166
0.5745	-0.05745	0.7436	-0.03718	0.8534	-0.017068
0.5665	-0.05665	0.7526	-0.03763	0.8734	-0.017468
0.557	-0.0557	0.7613	-0.038065	0.8938	-0.017876
0.546	-0.0546	0.7696	-0.03848	0.9146	-0.018292
0.5336	-0.05336	0.7789	-0.038945	0.9357	-0.018714
0.5166	-0.05166	0.7861	-0.039305	0.957	-0.01914
0.5007	-0.05007	0.7938	-0.03969	0.9831	-0.019662
0.4834	-0.04834	0.7984	-0.03992	1.0052	-0.020104
0.4645	-0.04645	0.8044	-0.04022	1.0275	-0.02055
0.4441	-0.04441	0.8077	-0.040385	1.0502	-0.021004
0.422	-0.0422	0.8105	-0.040525	1.0732	-0.021464
0.3986	-0.03986	0.8131	-0.040655	1.0964	-0.021928
0.3734	-0.03734	0.8146	-0.04073	1.1201	-0.022402
0.3414	-0.03414	0.815	-0.04075	1.1437	-0.022874
0.3192	-0.03192	0.814	-0.0407	1.1628	-0.023256
0.2962	-0.02962	0.8119	-0.040595	1.187	-0.02374
0.2664	-0.02664	0.8086	-0.04043	1.211	-0.02422
0.2355	-0.02355	0.804	-0.0402	1.2352	-0.024704
0.2038	-0.02038	0.798	-0.0399	1.2592	-0.025184
0.1714	-0.01714	0.7922	-0.03961	1.2832	-0.025664
0.1387	-0.01387	0.7855	-0.039275	1.307	-0.02614
0.1123	-0.01123	0.7757	-0.038785	1.3356	-0.026712
0.0792	-0.00792	0.7646	-0.03823	1.3593	-0.027186
0.0464	-0.00464	0.7519	-0.037595	1.3871	-0.027742
0.0137	-0.00137	0.7407	-0.037035	1.4099	-0.028198
-0.0181	0.00181	0.7254	-0.03627	1.4279	-0.028558
-0.0429	0.00429	0.7084	-0.03542	1.45	-0.029
-0.0729	0.00729	0.686	-0.0343	1.4757	-0.029514
-0.1013	0.01013	0.6698	-0.03349	1.4964	-0.029928
-0.1281	0.01281	0.6484	-0.03242	1.5166	-0.030332
-0.1481	0.01481	0.6207	-0.031035	1.5321	-0.030642
-0.1637	0.01637	0.5963	-0.029815	1.5522	-0.031044
-0.1698	0.01698	0.5798	-0.02899	1.5862	-0.031724
-0.1599	0.01599	0.5741	-0.028705	1.6233	-0.032466
-0.1373	0.01373	0.58	-0.029	1.6857	-0.033714
-0.1109	0.01109	0.5886	-0.02943	1.7281	-0.034562
-0.0813	0.00813	0.5963	-0.029815	1.7805	-0.03561
-0.0489	0.00489	0.6029	-0.030145	1.8418	-0.036836
-0.0063	0.00063	0.6085	-0.030425	1.8914	-0.037828
0.032	-0.0032	0.6129	-0.030645	1.9494	-0.038988
0.0725	-0.00725	0.6161	-0.030805	1.9961	-0.039922
0.1234	-0.01234	0.618	-0.0309	2.0409	-0.040818
0.1675	-0.01675	0.6186	-0.03093	2.0841	-0.041682
0.2216	-0.02216	0.6175	-0.030875	2.125	-0.0425
0.2671	-0.02671	0.6149	-0.030745	2.1713	-0.043426
0.3126	-0.03126	0.611	-0.03055	2.2073	-0.044146
0.3573	-0.03573	0.6042	-0.03021	2.2406	-0.044812
0.4008	-0.04008	0.5969	-0.029845	2.2771	-0.045542
0.4508	-0.04508	0.5881	-0.029405	2.3095	-0.04619
0.4898	-0.04898	0.5776	-0.02888	2.3331	-0.046662
0.5261	-0.05261	0.5658	-0.02829	2.3534	-0.047068
0.565	-0.0565	0.5496	-0.02748	2.3734	-0.047468
0.5929	-0.05929	0.5344	-0.02672	2.3862	-0.047724
0.6203	-0.06203	0.5144	-0.02572	2.3953	-0.047906
0.6377	-0.06377	0.4964	-0.02482	2.4012	-0.048024
0.6494	-0.06494	0.477	-0.02385	2.4019	-0.048038
0.6582	-0.06582	0.4524	-0.02262	2.3985	-0.04797
0.6722	-0.06722	0.4352	-0.02176	2.4067	-0.048134
0.7005	-0.07005	0.4355	-0.021775	2.4221	-0.048442
0.7386	-0.07386	0.4544	-0.02272	2.4548	-0.049096
0.7625	-0.07625	0.481	-0.02405	2.4769	-0.049538
0.7788	-0.07788	0.5024	-0.02512	2.4965	-0.04993
0.7875	-0.07875	0.5233	-0.026165	2.5091	-0.050182
0.7851	-0.07851	0.5431	-0.027155	2.5149	-0.050298
0.7705	-0.07705	0.5619	-0.028095	2.5164	-0.050328
0.7481	-0.07481	0.5793	-0.028965	2.514	-0.05028
0.7164	-0.07164	0.5954	-0.02977	2.5066	-0.050132
0.6663	-0.06663	0.6125	-0.030625	2.4912	-0.049824
0.6148	-0.06148	0.6249	-0.031245	2.4728	-0.049456
0.5548	-0.05548	0.6354	-0.03177	2.4438	-0.048876
0.4725	-0.04725	0.6438	-0.03219	2.4138	-0.048276
0.3962	-0.03962	0.6511	-0.032555	2.3709	-0.047418
0.3137	-0.03137	0.6546	-0.03273	2.3293	-0.046586
0.2082	-0.02082	0.6556	-0.03278	2.2724	-0.045448
0.1163	-0.01163	0.6531	-0.032655	2.2192	-0.044384
0.0249	-0.00249	0.6482	-0.03241	2.155	-0.0431
-0.054	0.0054	0.6493	-0.032465	2.1214	-0.042428
-0.0954	0.00954	0.6754	-0.03377	2.0999	-0.041998
-0.133	0.0133	0.7231	-0.036155	2.0784	-0.041568
-0.1668	0.01668	0.7672	-0.03836	2.0466	-0.040932
-0.2014	0.02014	0.8007	-0.040035	2.0082	-0.040164
-0.2283	0.02283	0.8364	-0.04182	1.9632	-0.039264
-0.2465	0.02465	0.8667	-0.043335	1.9208	-0.038416
-0.2541	0.02541	0.8874	-0.04437	1.874	-0.03748
-0.2543	0.02543	0.9037	-0.045185	1.8122	-0.036244
-0.2444	0.02444	0.9169	-0.045845	1.7561	-0.035122
-0.2229	0.02229	0.9225	-0.046125	1.6834	-0.033668
-0.1961	0.01961	0.9227	-0.046135	1.6186	-0.032372
-0.1534	0.01534	0.9153	-0.045765	1.5218	-0.030436
-0.0895	0.00895	0.8996	-0.04498	1.4485	-0.02897
-0.0352	0.00352	0.8702	-0.04351	1.3564	-0.027128
0.0383	-0.00383	0.8423	-0.042115	1.2763	-0.025526
0.1327	-0.01327	0.8089	-0.040445	1.1859	-0.023718
0.241	-0.0241	0.7813	-0.039065	1.1284	-0.022568
0.3966	-0.03966	0.7764	-0.03882	1.0951	-0.021902
0.5539	-0.05539	0.7827	-0.039135	1.0602	-0.021204
0.7086	-0.07086	0.7831	-0.039155	1.0092	-0.020184
0.8563	-0.08563	0.7775	-0.038875	0.9719	-0.019438
0.9707	-0.09707	0.7678	-0.03839	0.9267	-0.018534
1.0929	-0.10929	0.75	-0.0375	0.889	-0.01778
1.1937	-0.11937	0.7256	-0.03628	0.8438	-0.016876
1.2585	-0.12585	0.7003	-0.035015	0.806	-0.01612
1.3101	-0.13101	0.6706	-0.03353	0.7606	-0.015212
1.3301	-0.13301	0.6294	-0.03147	0.7153	-0.014306
1.3161	-0.13161	0.5826	-0.02913	0.6703	-0.013406
1.2773	-0.12773	0.5486	-0.02743	0.6259	-0.012518
1.0802	-0.10802	0.4936	-0.02468	0.5896	-0.011792
0.9545	-0.09545	0.4448	-0.02224	0.5058	-0.010116
0.7835	-0.07835	0.2854	-0.01427	0.4774	-0.009548
0.6694	-0.06694	0.2541	-0.012705	0.504	-0.01008
0.554	-0.0554	0.2387	-0.011935	0.5709	-0.011418
0.4182	-0.04182	0.2731	-0.013655	0.654	-0.01308
0.2918	-0.02918	0.3233	-0.016165	0.7394	-0.014788
