CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.005-2	SteerValue-0.12-0.005-2	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
0.7598	-1	0.7598	-1	0.7598	-1
0.7598	-0.098774	0.7598	-0.098774	0.7598	-0.098774
0.7598	-0.102573	0.7598	-0.102573	0.7598	-0.102573
0.7598	-0.106372	0.7598	-0.106372	0.7598	-0.106372
0.7598	-0.110171	0.7597	-0.109959	0.7597	-0.109979
0.7595	-0.113302	0.7593	-0.113107	0.7593	-0.113187
0.759	-0.116618	0.7588	-0.116641	0.7588	-0.116741
0.7585	-0.12035	0.7581	-0.119947	0.758	-0.119895
0.7576	-0.12319	0.7573	-0.123438	0.757	-0.1232
0.7565	-0.12642	0.756	-0.126062	0.7556	-0.12609
0.7551	-0.129398	0.7543	-0.128829	0.7537	-0.12873
0.7534	-0.132331	0.7523	-0.131751	0.752	-0.132646
0.751	-0.134328	0.7504	-0.135475	0.7493	-0.134269
0.749	-0.138673	0.7476	-0.137077	0.7468	-0.138063
0.7462	-0.140388	0.7435	-0.137703	0.742	-0.137057
0.7436	-0.144214	0.7391	-0.14027	0.7371	-0.139974
0.7397	-0.144714	0.7339	-0.141716	0.7314	-0.141508
0.736	-0.14837	0.7263	-0.139635	0.7245	-0.142142
0.7306	-0.147806	0.7185	-0.141892	0.7146	-0.139127
0.7227	-0.145221	0.7076	-0.137921	0.7048	-0.141655
0.7132	-0.144287	0.697	-0.140734	0.6913	-0.136832
0.7018	-0.142438	0.6824	-0.134395	0.6783	-0.139563
0.6907	-0.14519	0.6683	-0.137044	0.6637	-0.138249
0.6755	-0.138133	0.6492	-0.127998	0.6436	-0.129156
0.6609	-0.140946	0.6312	-0.131194	0.6247	-0.132171
0.6411	-0.130855	0.6114	-0.128275	0.604	-0.129467
0.6224	-0.134033	0.5894	-0.124182	0.581	-0.125472
0.602	-0.131025	0.5599	-0.108441	0.5503	-0.11068
0.5744	-0.115465	0.5329	-0.112866	0.5174	-0.105358
0.5488	-0.119337	0.5075	-0.115555	0.5003	-0.134248
0.5214	-0.114876	0.493	-0.138081	0.4752	-0.119212
0.4969	-0.120511	0.4635	-0.106858	0.4474	-0.113253
0.4859	-0.14997	0.4122	-0.059163	0.4235	-0.119522
0.4126	-0.012407	0.393	-0.123024	0.4007	-0.12077
0.392	-0.122565	0.3703	-0.115152	0.3702	-0.105101
0.3725	-0.124397	0.3438	-0.10609	0.3412	-0.106027
0.3432	-0.102018	0.3131	-0.095572	0.3098	-0.099488
0.3132	-0.0985135	0.2793	-0.0867125	0.2755	-0.0915295
0.2806	-0.0905445	0.2431	-0.078784	0.2382	-0.0828445
0.238	-0.0656225	0.1966	-0.053587	0.1983	-0.074368
0.1998	-0.0712775	0.1552	-0.059595	0.156	-0.065752
0.1602	-0.0643865	0.1125	-0.0524335	0.1019	-0.0385295
0.1098	-0.0362075	0.0679	-0.043621	0.0544	-0.0449815
0.0651	-0.043139	0.0213	-0.0341355	0.0064	-0.0383535
0.0195	-0.0358745	-0.0269	-0.025017	-0.0433	-0.029113
-0.0369	-0.006242	-0.0861	0.0045175	-0.0944	-0.019989
-0.0854	-0.016585	-0.1355	-0.008477	-0.1357	-0.0319945
-0.1336	-0.010763	-0.1743	-0.0241495	-0.188	-0.0049785
-0.1819	-0.0038475	-0.2237	0.004097	-0.2314	-0.0146335
-0.231	0.0048795	-0.2644	-0.007097	-0.2855	0.012546
-0.2796	0.0110595	-0.3148	0.019925	-0.329	0.000331
-0.3279	0.017865	-0.355	0.006124	-0.3824	0.026471
-0.375	0.022872	-0.4037	0.0309865	-0.4352	0.033903
-0.4211	0.0284095	-0.442	0.0169925	-0.4855	0.0378665
-0.4651	0.031605	-0.4877	0.039715	-0.5334	0.0419615
-0.4991	0.0171805	-0.5321	0.0451035	-0.5784	0.0450335
-0.5396	0.0383885	-0.5651	0.029089	-0.6204	0.0477755
-0.5788	0.0432565	-0.6033	0.0470895	-0.6667	0.064405
-0.622	0.0599505	-0.6395	0.050631	-0.7011	0.0506185
-0.654	0.0435405	-0.6724	0.051341	-0.7193	0.027239
